id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
25258	UT15	small_airport	Flying Cal Ute Rancheros Airport	37.9286003112793	-112.768997192383	5764	US	US-UT	Paragonah			UT15	UT15
25260	UT17	small_airport	Pfeiler Ranch Airport	37.932201385498	-112.332000732422	7040	US	US-UT	Panguitch			UT17	UT17
25267	UT24	small_airport	Strawberry Valley Estates Airport	37.4933013916016	-112.644996643066	8141	US	US-UT	Alton			UT24	UT24
25268	UT25	small_airport	Monument Valley Airport	37.015868	-110.202031	5192	US	US-UT	Oljato-Monument Valley		GMV	UT25	UT25
25269	UT26	small_airport	Bryce Woodland Estates Airport	37.566419	-112.453394	7600	US	US-UT	Hatch			UT26	UT26
25271	UT28	small_airport	Sun Valley Estates Airport	37.9749984741211	-113.462997436523	5110	US	US-UT	Lund			UT28	UT28
25273	UT30	small_airport	Deer Springs Ranch Airport	37.3424987792969	-112.223999023438	6485	US	US-UT	Kanab			UT30	UT30
25284	UT41	small_airport	Glenmar Ranch Airport	40.3394012451172	-111.999000549316	5030	US	US-UT	Cedar Fort			UT41	UT41
25285	UT42	small_airport	Westwater Airport	39.1467018127441	-109.144996643066	4660	US	US-UT	Cisco			UT42	UT42
25286	UT43	small_airport	Citabriair Airport	37.636100769043	-113.247001647949	5600	US	US-UT	Kanarraville			UT43	UT43
25290	UT47	small_airport	Grassy Meadows/Sky Ranch Landowners Assn Airport	37.1018981934	-113.314002991	3350	US	US-UT	Hurricane			UT47	UT47
25292	UT49	small_airport	Desert Aviation Airport	39.459400177002	-112.654998779297	4589	US	US-UT	Delta			UT49	UT49
25296	UT53	small_airport	Sky Ranch Airport	38.493843	-109.446567	4875	US	US-UT	Moab			UT53	UT53
25297	UT54	small_airport	Crystal Springs Ranch Airport	37.2532997131348	-113.333999633789	3671	US	US-UT	Leeds			UT54	UT54
25308	UT65	small_airport	Goshute Airport	39.9980010986328	-113.976997375488	5460	US	US-UT	Ibapah			UT65	UT65
25310	UT67	small_airport	Paradise Air Park	40.4411010742188	-109.84700012207	5700	US	US-UT	Tridell			UT67	UT67
25312	UT69	small_airport	Pelican Lake Airport	40.1814002990723	-109.671997070313	4815	US	US-UT	Randlett			UT69	UT69
25317	UT74	small_airport	Fry Canyon Field	37.6483	-110.167	5372	US	US-UT	Hite			UT74	UT74
25318	UT75	small_airport	Mineral Canyon Strip	38.5315831779	-109.995889664	3900	US	US-UT	Moab			UT75	UT75
25322	UT79	small_airport	3-I Rocker Ranch Airport	40.415599822998	-109.34400177002	4865	US	US-UT	Jensen			UT79	UT79
25323	UT80	small_airport	Hamilton Fort Ranch Airport	37.6347007751465	-113.158996582031	5460	US	US-UT	Cedar City			UT80	UT80
25325	UT82	small_airport	Beryl Junction Airport	37.7099990844727	-113.646003723145	5181	US	US-UT	Beryl			UT82	UT82
25326	UT83	small_airport	Thunder Ridge Airpark	40.263806	-110.865183	7050	US	US-UT	Fruitland			UT83	UT83
351328	UT89	small_airport	Cold Water Airport	41.681612	-111.98181	4926	US	US-UT	Mendon			UT89	UT89
324447	UT90	small_airport	CAVOK Ranch Airport	41.585369	-111.9037	5155	US	US-UT	Wellsville			UT90	UT90
25328	UT97	small_airport	Happy Canyon Airport	38.1571998596191	-110.291999816895	4934	US	US-UT	Happy Canyon			UT97	UT97
25330	UT99	small_airport	West Desert Airpark	40.243268	-112.092018	4890	US	US-UT	Fairfield			KUT9	UT9
25333	VA00	small_airport	Brook Hill Farm Airport	37.9281997680664	-79.1781005859375	1600	US	US-VA	Steeles Tavern			VA00	VA00
